"first_name","last_name","address","city","country","phone","email"
Francoise,Rautenstrauch,"2335 Canton Hwy #6",Windsor,CA,"519-569-8399",francoise.rautenstrauch@rautenstrauch.com
Kendra,Loud,"6 Arch St #9757",Alcida,CA,"506-363-1526",kloud@gmail.com
Lourdes,Bauswell,"9547 Belmont Rd #21",Belleville,CA,"613-903-7043",lourdes_bauswell@aol.com
Hannah,Edmison,"73 Pittsford Victor Rd",Vancouver,CA,"604-334-3686",hannah@yahoo.com
Tom,Loeza,"447 Commercial St Se",LIle-Perrot,CA,"514-487-6096",tom.loeza@gmail.com
Queenie,Kramarczyk,"47 Garfield Ave",Swift Current,CA,"306-421-5793",queenie.kramarczyk@kramarczyk.org
Hui,Portaro,"3 Mill Rd",Baker Brook,CA,"506-827-7755",hui_portaro@cox.net
Josefa,Opitz,"136 W Grand Ave #3",Delhi,CA,"519-788-7645",josefa.opitz@opitz.org
Lea,Steinhaus,"80 Maplewood Dr #34",Bradford,CA,"905-618-8258",lsteinhaus@cox.net
Paola,Vielma,"58 Hancock St",Aurora,CA,"905-456-1117",paola_vielma@aol.com
Hortencia,Bresser,"808 Calle De Industrias",New Waterford,CA,"902-256-6791",hbresser@aol.com
Leanna,Tijerina,"2859 Dorsett Rd",North York,CA,"416-719-2114",leanna@cox.net
Danilo,Pride,"6857 Wall St",Red Deer,CA,"403-212-4945",danilo_pride@hotmail.com
Huey,Marcille,"169 Journal Sq",Edmonton,CA,"780-639-3619",huey.marcille@gmail.com
Apolonia,Warne,"3 E 31st St #77",Fredericton,CA,"506-978-1488",apolonia@gmail.com
Chandra,Lagos,"7 N Dean St",Etobicoke,CA,"416-716-6446",chandra.lagos@lagos.org
Crissy,Pacholec,"85 S State St",Barrie,CA,"705-477-2307",crissy@aol.com
Gianna,Branin,"100 Main St",Calgary,CA,"403-337-7162",gianna@aol.com
Valentin,Billa,"6185 Bohn St #72",Pangman,CA,"306-291-5073",vbilla@yahoo.com
Ilona,Dudash,"2 Sutton Pl S #5727",Rouyn-Noranda,CA,"819-536-7034",idudash@dudash.com
Willard,Lablanc,"1534 Sidco Dr",Leduc,CA,"780-384-5410",wlablanc@yahoo.com
Lauryn,Randol,"4207 Leon Rd",North Vancouver,CA,"604-236-4625",lauryn@yahoo.com
Laurena,Begin,"7564 N Academy Ave",London,CA,"519-790-8660",laurena.begin@begin.com
Elise,Michelle,"88 E Saint Elmo Rd",Hamilton,CA,"905-652-4509",elise@gmail.com
Corrie,Kardell,"75 Westchester Ave",Pierrefonds,CA,"514-203-7817",corrie_kardell@aol.com
Kimberely,Rabuse,"89 W 35th St #1",Windsor,CA,"519-912-5533",kimberely.rabuse@cox.net
Tish,Violett,"1 Norris Ave #4095",Laval,CA,"450-840-7605",tish.violett@violett.com
